type,amount,oldbalanceOrg,newbalanceOrig,isFraud
payment,0.0009837252351103,0.0131578108465297,0.0123205353944054,Fraud
payment,0.0001861890444991,0.0016433342894972,0.0014899285852195,Fraud
transfer,1.786100426878002e-05,1.3998000207021915e-05,0.0,No Fraud
cash_out,1.786100426878002e-05,1.3998000207021915e-05,0.0,No Fraud
payment,0.0011665752788114,0.0032136624342684,0.0022970565016089,Fraud
payment,0.0007815321867861,0.0041653717743105,0.0035388555522064,Fraud
payment,0.0007105381698186,0.0141677549609137,0.0135342371449844,Fraud
payment,0.0007859251878361,0.0136180612264857,0.0129299837865297,Fraud
payment,0.0004021970961251,0.0002065671743257,0.0,Fraud
debit,0.0005335381275156,0.0032265003792096,0.0027963738692656,Fraud
debit,0.000964255230457,0.0003453097841124,0.0,Fraud
payment,0.0003097580740321,0.0016063671950279,0.0013582126916082,Fraud
payment,0.0002558350611445,0.000392098679832,0.000192864183839,Fraud
payment,0.0011631372779898,0.0007831919784337,0.0,Fraud
payment,0.0004096390979037,0.0389209368850092,0.038366328222713,Fraud
cash_out,0.0229131604762453,0.0011851897965337,0.0,Fraud
payment,0.0001561430373181,3.4801657973258907e-05,0.0,Fraud
payment,0.0001155470276157,0.0016361419468494,0.0015370766478557,Fraud
payment,6.692501599507882e-05,0.0011695677189546,0.0011107456986377,Fraud
transfer,0.0215307961458602,5.452259749143895e-05,0.0,Fraud
payment,0.0001371040327678,0.00107142704347,0.0009592688469492,Fraud
debit,0.0009300402222796,0.0008738309631996,0.0001534306578119,Fraud
debit,0.0001063020254061,0.0001405213611942,5.776794430691479e-05,Fraud
payment,0.0003874020925891,0.0052474713262256,0.0049172265731609,Fraud
transfer,0.0311683574492374,0.0008379465869783,0.0,Fraud
payment,0.0006058741448039,3.426029884923044e-05,0.0,Fraud
payment,0.0009476002264764,0.0090092985420818,0.0082253247095497,Fraud
payment,0.0008006701913601,0.0008482324103348,0.0002274247237046,Fraud
payment,0.0008899602127004,0.000228833275097,0.0,Fraud
payment,0.0009918132370433,0.0,0.0,Fraud
payment,0.000344653082372,0.0,0.0,Fraud
payment,0.0004204451004863,0.0,0.0,Fraud
payment,0.0005883171406077,0.0,0.0,Fraud
payment,0.0005305491268012,0.0,0.0,Fraud
payment,0.000502883120189,0.0,0.0,Fraud
payment,0.0024211285786497,0.0,0.0,Fraud
payment,0.0008601032055646,1.9566265482743345e-05,0.0,Fraud
payment,0.0002789030666578,0.0232383044210284,0.0228807129927072,Fraud
payment,0.0007411151771265,0.0230224243230291,0.0223109002709886,Fraud
payment,0.0003292800786979,0.0180684794605919,0.0177039899145235,Fraud
payment,0.0001682420402098,2.296909426235088e-05,0.0,Fraud
debit,0.0005756201375732,0.0025214961256891,0.0020633645335572,Fraud
cash_out,0.011041234638855,0.0020761439488264,0.0,Fraud
payment,0.0007821071869236,7.718234368291642e-05,0.0,Fraud
payment,0.0005084091215097,0.0,0.0,Fraud
payment,0.0005279091261702,0.0117566960965263,0.0112783896580513,Fraud
payment,0.0013873593315788,0.0012233169462689,0.0001492655612806,Fraud
cash_out,0.0056951523611414,0.0001501900351493,0.0,Fraud
cash_out,0.0005344501277335,0.0,0.0,Fraud
payment,0.0002201650526194,4.531949238295493e-05,0.0,Fraud
payment,0.000263908063074,0.0017828502694611,0.0015688502085697,Fraud
cash_out,0.002325891555888,0.0015785668572686,0.0,Fraud
payment,0.0002328250556451,0.0157414085974467,0.0154653792710691,Fraud
payment,0.0001612250385327,0.0031921627433427,0.0030484110161344,Fraud
payment,0.0009162322189795,0.00365307358143,0.0029261789989026,Fraud
payment,0.000296858070949,0.0029443022417764,0.0026978273317735,Fraud
payment,3.627000866853207e-06,0.0012508489245766,0.0012401780525195,Fraud
payment,0.0002250050537762,0.0001258273278277,0.0,Fraud
transfer,0.0062608424963413,0.0061184408197697,0.0012684521327929,Fraud
debit,0.0005526741320891,0.0006609994904387,0.0002319564471127,Fraud
cash_out,0.0082937939822167,0.0002333930656616,0.0,Fraud
debit,0.0004507831077371,0.0007931684537194,0.0004416262843302,Fraud
debit,0.0008725352085359,0.0682707991312305,0.0671797450705437,Fraud
payment,0.0002597070620699,0.0675958217482094,0.066979947257657,Fraud
debit,0.0004872101164432,1.1832563710908029e-05,0.0,Fraud
payment,0.0006438391538775,0.0001695227428386,0.0,Fraud
payment,0.0004907751172952,0.0032134304232152,0.002816252424643,Fraud
payment,0.0006442251539698,0.0009295136159568,0.0004284507750591,Fraud
debit,0.0005147271230197,0.0003698256187291,0.0,Fraud
payment,0.0007289771742255,0.0167687535408173,0.0161050532437609,Fraud
cash_out,0.0047456481342099,0.0162047996336922,0.0124573187324587,Fraud
cash_out,0.0136870562712064,0.0125344729369794,0.0019371311336824,Fraud
cash_out,0.009425096252598,0.0019491287244065,0.0,Fraud
payment,0.000299565071596,0.0009303643231517,0.0006942053011113,Fraud
payment,0.0003451690824954,0.0006985048505514,0.0004287213257103,Fraud
payment,0.0004313811031,0.0008506298578841,0.0005136465602446,Fraud
payment,0.0002129450508938,1.73234919689111e-05,0.0,Fraud
payment,0.0012984223103229,0.0018058193637235,0.0007965403163304,Fraud
transfer,0.0042710010207692,0.0008014736760522,0.0,Fraud
transfer,0.0077955308631318,0.0,0.0,Fraud
transfer,0.0017229074117748,0.0,0.0,Fraud
transfer,0.0078763658824514,0.0,0.0,Fraud
transfer,0.0224604303680428,0.0,0.0,Fraud
transfer,0.012587017008297,0.0,0.0,Fraud
transfer,0.0379853930785089,0.0,0.0,Fraud
transfer,0.1505623979844131,0.0,0.0,Fraud
transfer,0.0554024732411911,0.0,0.0,Fraud
transfer,0.0147540745262238,0.0,0.0,Fraud
transfer,0.0761505181999738,0.0,0.0,Fraud
transfer,0.1429049421542811,0.0,0.0,Fraud
transfer,0.0358829615760278,0.0,0.0,Fraud
transfer,0.0367766097896097,0.0,0.0,Fraud
transfer,0.0209708770120396,0.0,0.0,Fraud
transfer,0.0583846209539244,0.0,0.0,Fraud
transfer,0.1724885072247532,0.0,0.0,Fraud
transfer,0.0710542549819669,0.0,0.0,Fraud
transfer,0.058129200892879,0.0,0.0,Fraud
transfer,0.0011994192866612,0.0,0.0,Fraud
payment,0.0002872710686577,0.0011943155646245,0.0009659811163731,Fraud
payment,0.0008584592051717,0.0002910191976741,0.0,Fraud
payment,8.693602077770896e-05,0.0015366092050459,0.0014601472611191,Fraud
payment,0.0001032970246879,0.0055401146012719,0.0054264344117837,Fraud
payment,0.0001061140253612,0.0064254687801116,0.0063041737423155,Fraud
payment,0.0001017510243184,0.0157950804877432,0.0156194655530445,Fraud
payment,0.000405699096962,0.0020342729140635,0.0017097433032484,Fraud
payment,0.0001874050447898,1.4075337224740269e-05,0.0,Fraud
cash_out,0.0028402216788129,0.0,0.0,Fraud
cash_out,0.0075402728021252,0.0,0.0,Fraud
cash_out,0.005009950197378,0.0,0.0,Fraud
cash_out,0.0014119433374544,0.0,0.0,Fraud
cash_out,0.0078290538711438,0.0,0.0,Fraud
cash_out,0.0176147552099264,0.0,0.0,Fraud
cash_out,0.0212226010722016,0.0,0.0,Fraud
cash_out,0.0085421260415681,0.0,0.0,Fraud
cash_out,0.001164611278342,0.0,0.0,Fraud
payment,0.0006163191473002,0.0016182770957565,0.0011344234922795,Fraud
payment,0.0003703440885122,0.0032406886284803,0.0029359072931999,Fraud
cash_out,0.0419799110331987,0.002954090788109,0.0,Fraud
cash_out,0.0335414200163993,0.0111734976459122,0.0,Fraud
payment,0.0003369900805406,0.0032015978595043,0.0029226933534385,Fraud
payment,6.590401575105976e-05,0.0010887505354389,0.0010312107246634,Fraud
debit,8.622902060873593e-05,0.0054009079693789,0.0053012032790941,Fraud
payment,0.0001201050287051,0.0023155476475052,0.0022087970377421,Fraud
transfer,0.033075472905038,0.0080165232456313,0.0,Fraud
payment,0.0001913040457216,0.0008855088528751,0.0007328363985023,Fraud
payment,6.340001515260363e-07,0.0062885049217324,0.0062491259081072,Fraud
debit,0.0003056410730482,0.0014027388273754,0.0011590020966122,Fraud
payment,0.0005152581231466,0.0007328455798991,0.0003321186024142,Fraud
payment,0.0005210861245395,0.0028135207045936,0.0023955069628754,Fraud
payment,0.0005390361288296,0.0039253950083304,0.0034867407330126,Fraud
payment,2.27300054324713e-06,0.0047688325235668,0.0047375478905204,Fraud
payment,0.0017148504098492,0.0047668898176817,0.0034193136692908,Fraud
transfer,0.0679500012400503,2.242773513832241e-05,0.0,Fraud
transfer,0.0177650562458484,0.0018344340602793,0.0,Fraud
payment,0.0005440871300368,0.0183286411881965,0.017797447486499,Fraud
payment,2.4248005795273386e-05,0.0199512870520839,0.0198096587317281,Fraud
payment,0.0008279181978724,0.0199323495365552,0.0191731291417471,Fraud
payment,0.0001173200280394,0.0015861048963857,0.0014859848483119,Fraud
payment,0.0001095350261788,0.0019230622825845,0.0018268517675225,Fraud
transfer,0.0184984454211284,0.0030616178574341,0.0,Fraud
payment,0.00017159004101,0.0091111513944169,0.0089229995153192,Fraud
payment,0.0003668930876874,0.0077409714515008,0.0074111417237635,Fraud
debit,0.0003577870855111,0.0001983694504475,0.0,Fraud
payment,0.0008548512043094,0.0030981209297972,0.0024218203195372,Fraud
payment,0.0009751162330527,0.0047043334507897,0.0039257091646384,Fraud
payment,0.0003024590722877,0.0024081973947317,0.0021607174200227,Fraud
cash_out,0.0467174751654765,0.0021740997888386,0.0,Fraud
debit,0.000387360092579,0.0200409600974985,0.0196196883638035,Fraud
payment,0.0002146500513013,0.0024139203340429,0.0022338959909126,Fraud
payment,4.645801110346466e-05,0.0061892815279998,0.0061152924944842,Fraud
cash_out,0.015413736683883,0.0061531674608358,0.0,Fraud
cash_out,0.008268355976137,0.0,0.0,Fraud
cash_out,0.0083854860041311,0.0,0.0,Fraud
cash_out,0.0099107403686669,0.0,0.0,Fraud
cash_out,0.0187724324866113,0.0,0.0,Fraud
cash_out,0.0281337597239685,0.0,0.0,Fraud
cash_out,0.0186445164560394,0.0,0.0,Fraud
cash_out,0.0081027489365569,0.0,0.0,Fraud
cash_out,0.0139052593233569,0.0,0.0,Fraud
cash_out,0.0154713846976609,0.0,0.0,Fraud
cash_out,0.0053629452817439,0.0,0.0,Fraud
cash_out,0.0289643199224724,0.0,0.0,Fraud
cash_out,0.0267146493848012,0.0,0.0,Fraud
cash_out,0.0047911201450777,0.0,0.0,Fraud
cash_out,0.0193603036271125,0.0,0.0,Fraud
cash_out,0.034446209232644,0.0,0.0,Fraud
